platform,keyword,title,content,sentiment,publish_time,url,crawl_time
新浪财经,iPhone 17 发热,iPhone 17 Pro散热大幅改进！但依旧远远落后于安卓 - 新浪财经,iPhone 17 Pro散热大幅改进！但依旧远远落后于安卓 新浪财经,中性,2025-09-19,https://news.google.com/rss/articles/CBMifEFVX3lxTE0yaVF2LXQ3MVJUcW9SWDkwZnByWDN3dkEyLXd6bmFiT0FhRmtZUGxfVVpfTk1fZmZEVW1hdWZPQ3lTV1JWNzVGcmpFc2c4UzkzbFZCZnI3cHhjWm1Janh4cjRrejhBNjlHWEphZE1NUTF2eXdXemV4MkVHaUQ?oc=5,2026-06-28 17:09:42
驱动之家,iPhone 17 发热,王自如：iPhone 17发售旧机发热是惯例 或与系统升级有关 - 驱动之家,王自如：iPhone 17发售旧机发热是惯例 或与系统升级有关 驱动之家,负面,2025-09-18,https://news.google.com/rss/articles/CBMiWEFVX3lxTE9kV3E5dUxlb3NCWUFBUDVWNU5VWUVNcno5WnhTTUdsaTk2S1g4LWZmcTNiOGJTTl96T0lRSHMzdGNjZmtacGVVZXB6bVktMjhMZFJ1RklKNk0?oc=5,2026-06-28 17:09:42
新浪财经,iPhone 17 发热,更新iOS 26后手机现掉电快及发热现象，苹果首次主动作出解释 - 新浪财经,更新iOS 26后手机现掉电快及发热现象，苹果首次主动作出解释 新浪财经,负面,2025-09-16,https://news.google.com/rss/articles/CBMickFVX3lxTE9aQmh5V2tPTEFCOXVSc3I5MTBpYUZoZjZUY0ZxZ1RXVlFtQVJLNXJJaEczUjlpV0ZJSU5fenB3VURnWU12c0I5WEt4d3c0ZzVmdWUyUUhweVZ2el9Vc0RQX1hfYV9ab1pUdGEwOUZPNVc1QQ?oc=5,2026-06-28 17:09:42
搜狐网,iPhone 17 发热,iOS 26.5正式版测评，机型实测差异大，新老iPhone升级究竟值不值 - 搜狐网,iOS 26.5正式版测评，机型实测差异大，新老iPhone升级究竟值不值 搜狐网,负面,2026-05-13,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBkQ0l2NWxkVV9yeHFxZ0VxeUg5d1BXa0xubEU4XzIyZURPaE05Q2RJcDJ4dGRKVm1iaVZNUEhSU1p0cHpzOThiNE02anRGeW5DckNDWHVB?oc=5,2026-06-28 17:09:42
36氪,iPhone 17 发热,iPhone Air上手体验：苹果把手机打造成艺术品 - 36氪,iPhone Air上手体验：苹果把手机打造成艺术品 36氪,中性,2025-11-06,https://news.google.com/rss/articles/CBMiU0FVX3lxTE8wUHh5TzRzRl9GSVVnYkFTZkNZYnQ0cURtMHVyMG8zVkJ3SHdRdVNJWVNVWF9BUXZQU2dfT3JEUF9tQnFZR2UyMW5GWm40TjNlWVJN?oc=5,2026-06-28 17:09:42
news.qq.com,iPhone 17 发热,“王者”启动！苹果iPhone 15 Pro发热实测，bug修复了吗？ - news.qq.com,“王者”启动！苹果iPhone 15 Pro发热实测，bug修复了吗？ news.qq.com,负面,2023-10-13,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1hN3lvbnhaRUNmYURpdi01dEY0Zkw2M0pPQlJFaHBweDRSbzdkQU1JVU0yV3ZFWW95UDJfWDBXb2plSEJrMm5mWm9VNEtPQm03N1F2VmF3?oc=5,2026-06-28 17:09:42
新浪财经,iPhone 17 发热,苹果iOS 26 Beta 2体验：新增20+项更新，卡顿发热有改善！ - 新浪财经,苹果iOS 26 Beta 2体验：新增20+项更新，卡顿发热有改善！ 新浪财经,负面,2025-06-25,https://news.google.com/rss/articles/CBMihAFBVV95cUxQZDBKczBkSlhoTVV6V0xkdF9LXzl3YjR3NlJzYjVYRnYwdjBybjVUZlhYYmN3SXZuTWZ6NG5ILXloYmFTYkxoQmctQnBFZHdJYUNLanIwY2RtOWpQWm5ycmxsN2tZYW5KcjVoNGtuSWNfUEJnc2RrcXg2anR6c18zQnZlOXU?oc=5,2026-06-28 17:09:42
news.qq.com,iPhone 17 发热,iPhone 15 Pro发热严重 只因苹果不重视散热 - news.qq.com,iPhone 15 Pro发热严重 只因苹果不重视散热 news.qq.com,负面,2023-09-27,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1BYWdKb2ZGeVBmcVpKYXg2bENSY1FrS181eWlQcGhXcm5LanlYdkRIZ1NXTFFaeVRqOF9GMVREd3I4QXZsckRRaDJmcUFVT0JJU0YtMXBR?oc=5,2026-06-28 17:09:42
新浪财经,iPhone 17 Pro 拍照,测评结论：2026年苹果旗舰手机值得优先选购，体验提升35% - 新浪财经,测评结论：2026年苹果旗舰手机值得优先选购，体验提升35% 新浪财经,正面,2026-06-04,https://news.google.com/rss/articles/CBMihAFBVV95cUxPblIwOE13RFRfYlBnb3NYeEk5ZlR6YTZRTmRlQ2JyNUlyTnJXaXlQWHZsU29XR1dkZ2ctcUdlSTljYVUwcks1RWtscWVJM0t0NGVCblJjLVhEb0tldURQa3A4d2Q3OTBSNHRfbTRMckNRVXA3clFlSFdrbW9RdE92M0NKVHU?oc=5,2026-06-28 17:09:47
太平洋科技,iPhone 17 Pro 拍照,iPhone 18 Pro相机键大精简！告别华而不实，回归纯粹拍摄体验 - 太平洋科技,iPhone 18 Pro相机键大精简！告别华而不实，回归纯粹拍摄体验 太平洋科技,中性,2026-04-10,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9GYWtyYWxveHpicEVYX29oUUZ4ZmJqT1I4OU41bVdQSXFzTkowcHZMeFdsNkZlVnVsSm5MNzJyQ0VoaUU0dGdYbDF6SFFfdlN2Y2E1VXBsMGxJS1ppaEE?oc=5,2026-06-28 17:09:47
